City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,300.2,76,5,8.08,MU,1710073619
1,west island,-12.1568,96.8225,301.14,94,100,12.86,CC,1710073619
2,sakakah,29.9697,40.2064,298.91,14,44,2.01,SA,1710073619
3,gassol,8.5333,10.4667,315.0,22,55,1.46,NG,1710073619
4,lompoc,34.6391,-120.4579,283.16,86,100,2.06,US,1710073619
5,rongelap,11.1635,166.8941,299.93,75,85,10.34,MH,1710073619
6,bengkulu,-3.8004,102.2655,299.48,86,96,3.65,ID,1710073619
7,wenling,28.3669,121.36,282.21,81,6,0.58,CN,1710073619
8,grytviken,-54.2811,-36.5092,279.31,97,100,2.49,GS,1710073619
9,wailua homesteads,22.0669,-159.378,294.12,78,20,9.26,US,1710073619
10,puerto natales,-51.7236,-72.4875,281.4,66,75,8.75,CL,1710073620
11,port-aux-francais,-49.35,70.2167,280.42,82,17,12.0,TF,1710073620
12,thompson,55.7435,-97.8558,266.24,68,75,1.54,CA,1710073620
13,ushuaia,-54.8,-68.3,279.96,87,75,9.77,AR,1710073620
14,jamestown,42.097,-79.2353,272.95,97,100,5.66,US,1710073438
15,roma,43.2128,-75.4557,276.33,98,100,1.34,US,1710073620
16,bandarbeyla,9.4942,50.8122,301.77,62,37,4.91,SO,1710073620
17,edinburgh of the seven seas,-37.0676,-12.3116,290.15,71,7,8.52,SH,1710073620
18,ilulissat,69.2167,-51.1,255.16,85,20,4.63,GL,1710073620
19,buka,40.8108,69.1986,284.62,76,99,0.84,UZ,1710073620
20,pont rouge,48.8833,-72.0825,273.31,97,100,5.13,CA,1710073620
21,wanning,18.8003,110.3967,296.0,91,57,2.91,CN,1710073620
22,bethel,41.3712,-73.414,279.32,86,100,2.06,US,1710073620
23,bredasdorp,-34.5322,20.0403,299.51,42,0,4.24,ZA,1710073621
24,adamstown,-25.066,-130.1015,296.92,72,52,2.57,PN,1710073621
25,north bend,43.4065,-124.2243,280.88,93,100,4.63,US,1710073385
26,hawaiian paradise park,19.5933,-154.9731,294.75,84,75,0.89,US,1710073621
27,bilibino,68.0546,166.4372,254.6,99,100,0.29,RU,1710073621
28,nova sintra,14.8667,-24.7167,292.56,72,51,8.84,CV,1710073621
29,atafu village,-8.5421,-172.5159,302.41,78,79,7.14,TK,1710073621
30,albany,42.6001,-73.9662,275.66,95,100,0.89,US,1710073591
31,berdigestyakh,62.0989,126.6992,253.86,100,99,1.11,RU,1710073622
32,kaya,13.0917,-1.0844,312.41,6,92,4.64,BF,1710073622
33,saipan,15.1355,145.701,300.54,78,0,5.66,MP,1710073622
34,vorgashor,67.5833,63.95,248.72,98,94,1.81,RU,1710073622
35,aasiaat,68.7098,-52.8699,246.05,100,100,1.83,GL,1710073622
36,keflavik,64.0049,-22.5624,279.1,70,20,5.66,IS,1710073622
37,moramanga,-18.9333,48.2,299.79,52,87,3.04,MG,1710073623
38,longyearbyen,78.2186,15.6401,265.06,86,75,1.54,SJ,1710073623
39,mejit,10.2753,170.8646,299.93,81,85,10.98,MH,1710073623
40,gaigeturi,33.4644,126.3183,280.18,49,0,3.09,KR,1710073624
41,east london,-33.0153,27.9116,298.67,78,0,4.63,ZA,1710073624
42,yellowknife,62.456,-114.3525,270.6,95,100,5.66,CA,1710073624
43,nova xavantina,-14.6667,-52.35,299.54,85,100,1.05,BR,1710073624
44,cockburn town,21.4612,-71.1419,298.38,80,2,7.0,TC,1710073624
45,arraial do cabo,-22.9661,-42.0278,301.13,83,75,1.54,BR,1710073501
46,margaret river,-33.95,115.0667,289.3,73,0,6.79,AU,1710073624
47,saint-pierre,-21.3393,55.4781,301.97,74,14,1.03,RE,1710073624
48,shchigry,51.8755,36.9043,272.05,79,100,4.6,RU,1710073624
49,waitangi,-43.9535,-176.5597,285.83,79,98,4.02,NZ,1710073624
50,thunder bay,48.4001,-89.3168,265.14,67,0,2.57,CA,1710073472
51,bordighera,43.7806,7.6645,286.6,81,100,4.02,IT,1710073624
52,illizi,26.4833,8.4667,304.15,5,0,4.56,DZ,1710073624
53,gettorf,54.4,9.9833,282.62,81,75,10.8,DE,1710073624
54,blackmans bay,-43.0167,147.3167,287.44,94,100,0.45,AU,1710073624
55,chebba,35.2372,11.115,295.21,42,90,3.65,TN,1710073624
56,namibe,-15.1961,12.1522,301.25,73,91,2.4,AO,1710073624
57,janakpur,26.7183,85.9065,299.9,20,13,2.06,NP,1710073625
58,tamanrasset,22.785,5.5228,298.4,8,27,7.67,DZ,1710073625
59,chonchi,-42.6128,-73.8092,286.55,93,71,1.3,CL,1710073625
60,klyuchi,52.2667,79.1667,273.4,80,100,7.54,RU,1710073625
61,ormara,25.2088,64.6357,296.37,67,87,6.55,PK,1710073625
62,belmonte,-15.8631,-38.8828,301.98,72,89,0.97,BR,1710073625
